,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,class
0,0.133333,0.533333,0.2,0.333333,0.066667,0.533333,0.866667,0.0,0.4,0.4,0.666667,0.533333,0.0,0.533333,0.0,0.533333,T
1,0.333333,0.8,0.2,0.466667,0.133333,0.666667,0.333333,0.333333,0.266667,0.866667,0.2,0.6,0.133333,0.533333,0.266667,0.666667,I
2,0.266667,0.733333,0.4,0.533333,0.4,0.666667,0.4,0.133333,0.4,0.666667,0.2,0.466667,0.2,0.466667,0.2,0.6,D
3,0.466667,0.733333,0.4,0.4,0.2,0.333333,0.6,0.266667,0.4,0.266667,0.266667,0.666667,0.4,0.666667,0.133333,0.533333,N
4,0.133333,0.066667,0.2,0.066667,0.066667,0.533333,0.4,0.4,0.4,0.4,0.333333,0.6,0.066667,0.466667,0.333333,0.666667,G
5,0.266667,0.733333,0.333333,0.533333,0.2,0.533333,0.533333,0.4,0.6,0.333333,0.4,0.4,0.0,0.533333,0.6,0.466667,S
6,0.266667,0.133333,0.333333,0.266667,0.266667,0.533333,0.466667,0.4,0.4,0.466667,0.4,0.4,0.133333,0.533333,0.466667,0.666667,B
7,0.066667,0.066667,0.2,0.133333,0.066667,0.533333,0.133333,0.133333,0.133333,0.533333,0.133333,0.533333,0.066667,0.4,0.133333,0.466667,A
8,0.133333,0.133333,0.266667,0.266667,0.133333,0.666667,0.4,0.133333,0.4,0.8,0.266667,0.533333,0.066667,0.4,0.066667,0.466667,J
9,0.733333,1.0,0.866667,0.6,0.466667,0.866667,0.133333,0.4,0.133333,0.8,0.066667,0.6,0.533333,0.066667,0.066667,0.533333,M
10,0.2,0.6,0.333333,0.466667,0.266667,0.533333,0.466667,0.2,0.533333,0.333333,0.4,0.533333,0.133333,0.533333,0.4,0.466667,X
11,0.4,0.866667,0.266667,0.466667,0.266667,0.4,0.466667,0.4,0.2,0.666667,0.466667,0.6,0.333333,0.6,0.333333,0.533333,O
12,0.266667,0.6,0.4,0.466667,0.4,0.466667,0.533333,0.4,0.133333,0.4,0.333333,0.733333,0.266667,0.533333,0.466667,0.533333,G
13,0.4,0.6,0.533333,0.4,0.6,0.466667,0.533333,0.4,0.333333,0.466667,0.333333,0.533333,0.533333,0.6,0.533333,0.4,M
14,0.333333,0.6,0.333333,0.466667,0.4,0.4,0.733333,0.466667,0.2,0.466667,0.2,0.6,0.133333,0.466667,0.333333,0.733333,R
15,0.4,0.6,0.333333,0.266667,0.2,0.666667,0.4,0.2,0.333333,0.666667,0.333333,0.466667,0.2,0.6,0.4,0.6,F
16,0.2,0.266667,0.266667,0.2,0.133333,0.533333,0.466667,0.466667,0.333333,0.466667,0.4,0.533333,0.133333,0.533333,0.2,0.533333,O
17,0.466667,0.666667,0.333333,0.333333,0.133333,0.4,0.533333,0.4,0.533333,0.733333,0.466667,0.733333,0.133333,0.533333,0.333333,0.6,C
18,0.4,0.733333,0.4,0.533333,0.333333,0.4,0.733333,0.333333,0.4,0.733333,0.6,0.266667,0.2,0.8,0.133333,0.266667,T
19,0.266667,0.333333,0.333333,0.266667,0.266667,0.466667,0.466667,0.4,0.4,0.466667,0.4,0.533333,0.2,0.533333,0.2,0.533333,H
20,0.2,0.133333,0.2,0.2,0.133333,0.533333,0.533333,0.466667,0.333333,0.466667,0.333333,0.466667,0.133333,0.533333,0.6,0.533333,S
21,0.4,0.733333,0.466667,0.533333,0.333333,0.466667,0.4,0.6,0.4,0.466667,0.333333,0.6,0.266667,0.533333,0.333333,0.333333,O
22,0.8,0.933333,0.8,0.533333,0.333333,0.6,0.666667,0.266667,0.2,0.333333,0.666667,0.466667,0.666667,0.8,0.133333,0.4,W
